month,new_listings
2008-08,1
2008-09,2
2008-10,1
2008-12,1
2009-01,7
2009-02,1
2009-03,1
2009-04,2
2009-05,3
2009-06,3
2009-08,9
2009-09,8
2009-10,11
2009-11,72
2009-12,9
2010-01,14
2010-02,14
2010-03,16
2010-04,23
2010-05,21
2010-06,141
2010-07,35
2010-08,38
2010-09,14
2010-10,26
2010-11,39
2010-12,14
2011-01,62
2011-02,34
2011-03,50
2011-04,46
2011-05,84
2011-06,171
2011-07,140
2011-08,128
2011-09,297
2011-10,148
2011-11,111
2011-12,157
2012-01,171
2012-02,163
2012-03,183
2012-04,281
2012-05,285
2012-06,429
2012-07,550
2012-08,394
2012-09,318
2012-10,496
2012-11,420
2012-12,332
2013-01,467
2013-02,468
2013-03,456
2013-04,536
2013-05,677
2013-06,785
2013-07,1149
2013-08,632
2013-09,555
2013-10,583
2013-11,622
2013-12,597
2014-01,641
2014-02,622
2014-03,895
2014-04,1043
2014-05,1038
2014-06,1059
2014-07,1222
2014-08,858
2014-09,776
2014-10,780
2014-11,694
2014-12,793
2015-01,798
2015-02,893
2015-03,963
2015-04,1011
2015-05,1523
2015-06,1207
2015-07,1481
2015-08,955
2015-09,666
2015-10,804
2015-11,709
2015-12,1076
2016-01,819
2016-02,936
2016-03,971
2016-04,1089
2016-05,1079
2016-06,1003
2016-07,982
2016-08,683
2016-09,575
2016-10,662
2016-11,400
2016-12,358
2017-01,413
2017-02,503
2017-03,479
2017-04,616
2017-05,462
2017-06,476
2017-07,510
2017-08,479
2017-09,236
2017-10,414
2017-11,359
2017-12,330
2018-01,354
2018-02,329
2018-03,349
2018-04,368
2018-05,338
2018-06,541
2018-07,414
2018-08,370
2018-09,196
2018-10,353
2018-11,332
2018-12,277
2019-01,306
2019-02,324
2019-03,255
2019-04,389
2019-05,513
2019-06,449
2019-07,476
2019-08,248
2019-09,358
2019-10,386
2019-11,263
2019-12,1138
2020-01,318
2020-02,693
2020-03,120
2020-04,116
2020-05,121
2020-06,333
2020-07,242
2020-08,193
2020-09,149
2020-10,180
2020-11,109
2020-12,109
2021-01,135
2021-02,147
2021-03,165
2021-04,203
2021-05,319
2021-06,230
2021-07,243
2021-08,184
2021-09,178
2021-10,189
2021-11,205
2021-12,350
2022-01,219
2022-02,264
2022-03,371
2022-04,196
2022-05,647
2022-06,310
2022-07,250
2022-08,364
2022-09,287
2022-10,252
2022-11,386
2022-12,439
2023-01,232
2023-02,226
2023-03,502
2023-04,316
2023-05,488
2023-06,585
2023-07,649
2023-08,340
2023-09,581
2023-10,683
2023-11,454
2023-12,468
2024-01,540
2024-02,732
2024-03,663
2024-04,555
2024-05,752
2024-06,382
2024-07,585
2024-08,143
2024-09,185
2024-10,496
2024-11,277
2024-12,245
2025-01,237
2025-02,209
2025-03,204
2025-04,173
2025-05,166
2025-06,183
2025-07,188
2025-08,6
2025-09,2
